91
Question	KeyTyped	KeyTypedValue	PressEvent(ms)	ReleaseEvent(ms)	HoldTime(ms)	CursorLocation	TextLength	CharactersUpdated
Q5Timer	?	16	1554792063843	1554792064265	422	0	0	0
Q5Timer	m	77	1554792064218	1554792064265	47	0	0	0
Q5Timer		8	1554792065312	1554792065390	78	1	1	1
Q5Timer	M	77	1554792065765	1554792065812	47	0	0	-1
Q5Timer	Y	89	1554792065968	1554792066031	63	1	1	1
Q5Timer	 	32	1554792066203	1554792066234	31	2	2	1
Q5Timer	L	76	1554792066578	1554792066625	47	3	3	1
Q5Timer	E	69	1554792066609	1554792066625	16	4	4	1
Q5Timer	A	65	1554792066797	1554792066843	46	5	5	1
Q5Timer	S	83	1554792066953	1554792067031	78	6	6	1
Q5Timer	T	84	1554792067125	1554792067203	78	7	7	1
Q5Timer	 	32	1554792067375	1554792067437	62	8	8	1
Q5Timer	F	70	1554792067672	1554792067734	62	9	9	1
Q5Timer	A	65	1554792067781	1554792067875	94	10	10	1
Q5Timer	V	86	1554792067922	1554792067969	47	11	11	1
Q5Timer	O	79	1554792068375	1554792068437	62	12	12	1
Q5Timer	U	85	1554792068562	1554792068625	63	13	13	1
Q5Timer		8	1554792069531	1554792069578	47	14	14	1
Q5Timer	U	85	1554792071797	1554792071860	63	13	13	-1
Q5Timer	R	82	1554792072219	1554792072266	47	14	14	1
Q5Timer	I	73	1554792072500	1554792072594	94	15	15	1
Q5Timer	T	84	1554792072641	1554792072703	62	16	16	1
Q5Timer	E	69	1554792072844	1554792072969	125	17	17	1
Q5Timer	 	32	1554792073297	1554792073360	63	18	18	1
Q5Timer	C	67	1554792073516	1554792073610	94	19	19	1
Q5Timer	L	76	1554792073750	1554792073813	63	20	20	1
Q5Timer	A	65	1554792073860	1554792073969	109	21	21	1
Q5Timer	S	83	1554792074063	1554792074110	47	22	22	1
Q5Timer	S	83	1554792074204	1554792074250	46	23	23	1
Q5Timer	 	32	1554792074329	1554792074391	62	24	24	1
Q5Timer	I	73	1554792075344	1554792075407	63	25	25	1
Q5Timer	S	83	1554792075501	1554792075563	62	26	26	1
Q5Timer	 	32	1554792075626	1554792075688	62	27	27	1
Q5Timer	T	84	1554792075797	1554792075876	79	28	28	1
Q5Timer	H	72	1554792075922	1554792075985	63	29	29	1
Q5Timer	E	69	1554792076032	1554792076126	94	30	30	1
Q5Timer	 	32	1554792077360	1554792077438	78	31	31	1
Q5Timer	D	68	1554792077563	1554792077626	63	32	32	1
Q5Timer	Y	89	1554792077673	1554792077735	62	33	33	1
Q5Timer	N	78	1554792077892	1554792077954	62	34	34	1
Q5Timer	A	65	1554792077985	1554792078063	78	35	35	1
Q5Timer	M	77	1554792078204	1554792078267	63	36	36	1
Q5Timer		8	1554792078918	1554792078965	47	37	37	1
Q5Timer	M	77	1554792079606	1554792079653	47	36	36	-1
Q5Timer	I	73	1554792079793	1554792079840	47	37	37	1
Q5Timer	C	67	1554792079918	1554792080043	125	38	38	1
Q5Timer	S	83	1554792080090	1554792080199	109	39	39	1
Q5Timer	 	32	1554792080262	1554792080309	47	40	40	1
Q5Timer	C	67	1554792082106	1554792082184	78	41	41	1
Q5Timer	L	76	1554792082246	1554792082309	63	42	42	1
Q5Timer	A	65	1554792082340	1554792082418	78	43	43	1
Q5Timer	S	83	1554792082528	1554792082574	46	44	44	1
Q5Timer	S	83	1554792082668	1554792082699	31	45	45	1
Q5Timer	 	32	1554792082746	1554792082793	47	46	46	1
Q5Timer	.	46	1554792083434	1554792083481	47	47	47	1
Q5Timer	 	32	1554792083715	1554792083747	32	48	48	1
Q5Timer	I	73	1554792085278	1554792085340	62	49	49	1
Q5Timer	T	84	1554792085418	1554792085481	63	50	50	1
Q5Timer	S	83	1554792085747	1554792085809	62	51	51	1
Q5Timer	 	32	1554792085950	1554792085997	47	52	52	1
Q5Timer	H	72	1554792086575	1554792086653	78	53	53	1
Q5Timer	I	73	1554792086762	1554792086840	78	54	54	1
Q5Timer	G	71	1554792086872	1554792086950	78	55	55	1
Q5Timer	H	72	1554792086997	1554792087044	47	56	56	1
Q5Timer	 	32	1554792087184	1554792087262	78	57	57	1
Q5Timer	C	67	1554792087778	1554792087856	78	58	58	1
Q5Timer	O	79	1554792087887	1554792087965	78	59	59	1
Q5Timer	N	78	1554792088090	1554792088153	63	60	60	1
Q5Timer	C	67	1554792088122	1554792088153	31	61	61	1
Q5Timer	E	69	1554792088340	1554792088434	94	62	62	1
Q5Timer	P	80	1554792088466	1554792088529	63	63	63	1
Q5Timer	T	84	1554792088825	1554792088888	63	64	64	1
Q5Timer	U	85	1554792088966	1554792088997	31	65	65	1
Q5Timer	A	65	1554792089169	1554792089263	94	66	66	1
Q5Timer	L	76	1554792089388	1554792089451	63	67	67	1
Q5Timer	 	32	1554792089888	1554792089951	63	68	68	1
Q5Timer	A	65	1554792090060	1554792090138	78	69	69	1
Q5Timer	D	68	1554792090279	1554792090388	109	70	70	1
Q5Timer	 	32	1554792090435	1554792090498	63	71	71	1
Q5Timer		8	1554792091138	1554792091201	63	72	72	1
Q5Timer		8	1554792091592	1554792091686	94	71	71	-1
Q5Timer	N	78	1554792091905	1554792091967	62	70	70	-1
Q5Timer	D	68	1554792092295	1554792092373	78	71	71	1
Q5Timer	 	32	1554792092420	1554792092483	63	72	72	1
Q5Timer	R	82	1554792092561	1554792092623	62	73	73	1
Q5Timer	E	69	1554792092717	1554792092764	47	74	74	1
Q5Timer	Q	81	1554792093061	1554792093123	62	75	75	1
Q5Timer	U	85	1554792093201	1554792093248	47	76	76	1
Q5Timer	I	73	1554792093373	1554792093436	63	77	77	1
Q5Timer	R	82	1554792093499	1554792093561	62	78	78	1
Q5Timer	E	69	1554792093655	1554792093733	78	79	79	1
Q5Timer	S	83	1554792093842	1554792093920	78	80	80	1
Q5Timer	 	32	1554792093967	1554792094045	78	81	81	1
Q5Timer	A	65	1554792094077	1554792094155	78	82	82	1
Q5Timer	 	32	1554792094186	1554792094249	63	83	83	1
Q5Timer	L	76	1554792094545	1554792094608	63	84	84	1
Q5Timer	O	79	1554792094702	1554792094780	78	85	85	1
Q5Timer	T	84	1554792094858	1554792094920	62	86	86	1
Q5Timer	 	32	1554792095389	1554792095436	47	87	87	1
Q5Timer	O	79	1554792095592	1554792095655	63	88	88	1
Q5Timer	F	70	1554792095702	1554792095780	78	89	89	1
Q5Timer	 	32	1554792095842	1554792095921	79	90	90	1
Q5Timer	F	70	1554792096405	1554792096467	62	91	91	1
Q5Timer	O	79	1554792096483	1554792096546	63	92	92	1
Q5Timer	U	85	1554792096686	1554792096764	78	93	93	1
Q5Timer	C	67	1554792097155	1554792097264	109	94	94	1
Q5Timer		8	1554792097905	1554792097968	63	95	95	1
Q5Timer		8	1554792098233	1554792098280	47	94	94	-1
Q5Timer	C	67	1554792099124	1554792099202	78	93	93	-1
Q5Timer	U	85	1554792099233	1554792099312	79	94	94	1
Q5Timer	S	83	1554792099358	1554792099468	110	95	95	1
Q5Timer	 	32	1554792099546	1554792099608	62	96	96	1
Q5Timer	.	46	1554792100186	1554792100249	63	97	97	1
Q5Timer	T	84	1554792101718	1554792101796	78	98	98	1
Q5Timer	O	79	1554792101858	1554792101905	47	99	99	1
Q5Timer	 	32	1554792102062	1554792102124	62	100	100	1
Q5Timer	A	65	1554792102171	1554792102202	31	101	101	1
Q5Timer	D	68	1554792102343	1554792102421	78	102	102	1
Q5Timer	D	68	1554792102484	1554792102546	62	103	103	1
Q5Timer	 	32	1554792102593	1554792102624	31	104	104	1
Q5Timer	T	84	1554792103546	1554792103609	63	105	105	1
Q5Timer		8	1554792104031	1554792104124	93	106	106	1
Q5Timer	T	84	1554792104249	1554792104327	78	105	105	-1
Q5Timer	O	79	1554792104343	1554792104421	78	106	106	1
Q5Timer	T	84	1554792104765	1554792104828	63	107	107	1
Q5Timer		8	1554792105140	1554792105218	78	108	108	1
Q5Timer	 	32	1554792105421	1554792105515	94	107	107	-1
Q5Timer	T	84	1554792105703	1554792105781	78	108	108	1
Q5Timer	H	72	1554792105875	1554792105921	46	109	109	1
Q5Timer	A	65	1554792106000	1554792106062	62	110	110	1
Q5Timer	T	84	1554792106156	1554792106218	62	111	111	1
Q5Timer	 	32	1554792106390	1554792106468	78	112	112	1
