Question	MouseClick (previous location)	MouseClick (new location)	MouseClick(ms)	MousePress(ms)	MouseRelease(ms)
Q6	216	119	1556603191701	1556603185262	1556603186716
Q6	129	217	1556603379091	1556603191591	1556603191701
Q6	533	316	1556603389983	1556603378888	1556603379091
Q6	316	0	1556603390733	1556603380716	1556603388733
Q6	0	0	1556603394687	1556603389874	1556603389983
Q6	6	2	1556603397031	1556603390655	1556603390733
Q6	2	271	1556603792655	1556603391968	1556603394093
Q6	271	271	1556603797640	1556603394578	1556603394687
Q6	452	444	1556604366463	1556603395031	1556603396484
Q6	444	444	1556604392107	1556603396937	1556603397031
Q6	613	0	1556604393920	1556603424894	1556603428176
Q6	613	145	1556604416431	1556603427348	1556603792655
Q6	0	414	1556604431449	1556603792576	1556603797640
Q6	147	544	1556604445998	1556603797577	1556603802203
Q6	416	0	1556604585485	1556603801281	1556604365901
Q6	551	446	1556604594580	1556604362853	1556604366463
Q6	0	147	1556604720639	1556604366370	1556604378558
Q6	446	148	1556604774186	1556604377262	1556604386263
Q6	148	259	1556604779937	1556604386216	1556604391529
Q6	148	259	1556604787688	1556604389044	1556604392107
Q6	259	256	1556604817628	1556604392061	1556604393233
Q6	284	258	1556604820081	1556604393154	1556604393920
Q6	256	259	1556604821287	1556604393826	1556604415978
