99
Question	KeyTyped	KeyTypedValue	PressEvent(ms)	ReleaseEvent(ms)	HoldTime(ms)	CursorLocation	TextLength	CharactersUpdated
Q3	?	16	1556605650568	1556605650771	203	0	0	0
Q3	T	84	1556605650724	1556605650771	47	0	0	0
Q3	h	72	1556605650974	1556605651068	94	1	1	1
Q3	e	69	1556605651084	1556605651208	124	2	2	1
Q3	 	32	1556605651208	1556605651208	0	3	3	1
Q3	g	71	1556605651927	1556605652005	78	4	4	1
Q3	r	82	1556605652037	1556605652115	78	5	5	1
Q3	o	79	1556605652240	1556605652333	93	6	6	1
Q3	u	85	1556605652458	1556605652505	47	7	7	1
Q3	p	80	1556605652708	1556605652771	63	8	8	1
Q3	 	32	1556605652802	1556605652912	110	9	9	1
Q3	a	65	1556605652896	1556605652912	16	10	10	1
Q3	s	83	1556605653131	1556605653162	31	11	11	1
Q3	s	83	1556605653271	1556605653365	94	12	12	1
Q3	i	73	1556605653396	1556605653459	63	13	13	1
Q3	g	71	1556605653677	1556605653724	47	14	14	1
Q3	n	78	1556605654396	1556605654459	63	15	15	1
Q3	m	77	1556605654615	1556605654693	78	16	16	1
Q3	e	69	1556605654724	1556605654787	63	17	17	1
Q3	n	78	1556605654865	1556605654912	47	18	18	1
Q3	t	84	1556605655146	1556605655193	47	19	19	1
Q3	 	32	1556605655256	1556605655381	125	20	20	1
Q3		8	1556605657771	1556605659102	1331	21	21	1
Q3		8	1556605658272	1556605659102	830	20	20	-1
Q3		8	1556605658319	1556605659102	783	19	19	-1
Q3		8	1556605658350	1556605659102	752	18	18	-1
Q3		8	1556605658381	1556605659102	721	17	17	-1
Q3		8	1556605658412	1556605659102	690	16	16	-1
Q3		8	1556605658443	1556605659102	659	15	15	-1
Q3		8	1556605658475	1556605659102	627	14	14	-1
Q3		8	1556605658506	1556605659102	596	13	13	-1
Q3		8	1556605658537	1556605659102	565	12	12	-1
Q3		8	1556605658569	1556605659102	533	11	11	-1
Q3		8	1556605658615	1556605659102	487	10	10	-1
Q3		8	1556605658647	1556605659102	455	9	9	-1
Q3		8	1556605658678	1556605659102	424	8	8	-1
Q3		8	1556605658709	1556605659102	393	7	7	-1
