Question	MouseClick (previous location)	MouseClick (new location)	MouseClick(ms)	MousePress(ms)	MouseRelease(ms)
Q8Timer	0	0	1556604946406	1556604946234	1556604946406
Q8Timer	0	0	1556605001201	1556605001060	1556605001201
Q8Timer	236	214	1556605136139	1556605082873	1556605083467
Q8Timer	329	83	1556605153796	1556605135935	1556605136139
Q8Timer	83	82	1556605169245	1556605137217	1556605139498
Q8Timer	102	114	1556605177090	1556605147889	1556605148921
Q8Timer	124	135	1556605229108	1556605153718	1556605153796
Q8Timer	184	185	1556605266612	1556605169136	1556605169245
Q8Timer	187	197	1556605266862	1556605176996	1556605177090
Q8Timer	262	198	1556605275785	1556605209218	1556605210359
